Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
7-February-2020,92.90,93.40,90.90,91.15,92.248581654755423766,431665,943,39820484.00,96866,22.44,2.50,-1.75
6-February-2020,91.20,93.65,90.55,92.50,92.342357003466935876,428909,1554,39606468.00,50673,11.81,3.10,1.30
5-February-2020,90.50,91.00,89.20,90.85,90.104779969359663033,260441,1166,23466979.00,34425,13.22,1.80,0.35
4-February-2020,88.70,90.30,87.80,89.75,89.081190077941785073,463936,1707,41327971.00,94387,20.34,2.50,1.05
3-February-2020,88.00,89.90,87.05,88.50,88.697178828412041071,445276,2181,39494725.00,95346,21.41,2.85,0.50
1-February-2020,92.00,92.00,87.45,88.25,89.592189134587284578,472214,1878,42306686.00,59505,12.60,4.55,-3.75
31-January-2020,94.50,94.50,90.85,91.20,92.635961557675545127,1161012,1642,107551463.00,750910,64.68,3.65,-3.30
30-January-2020,95.90,95.90,91.20,93.00,92.997014360295973537,301108,1259,28002145.00,48464,16.10,4.70,-2.90
29-January-2020,96.00,96.30,94.65,94.85,95.544630267397044873,234034,845,22360692.00,37857,16.18,1.65,-1.15
28-January-2020,96.00,96.20,94.70,95.25,95.461496738709855729,289456,1058,27631903.00,66910,23.12,1.50,-0.75
27-January-2020,96.00,96.80,94.85,95.65,96.023277817836478429,284305,1162,27299898.00,41140,14.47,1.95,-0.35
24-January-2020,92.75,96.95,92.75,96.00,96.027173913043478260,492384,2801,47282244.00,112707,22.89,4.20,3.25
23-January-2020,93.80,95.90,93.35,94.50,95.043740573152337858,299013,1707,28419314.00,54474,18.22,2.55,0.70
22-January-2020,95.05,95.60,93.40,93.75,94.472364613101281600,605727,2086,57224462.00,149474,24.68,2.20,-1.30
21-January-2020,94.00,96.35,93.55,94.60,94.858254696786175374,1202897,5492,114104710.00,158552,13.18,2.80,0.60
20-January-2020,92.45,94.45,88.00,93.80,91.409257874205621959,2529652,11095,231233612.00,205819,8.14,6.45,1.35
17-January-2020,92.90,93.40,91.35,91.65,92.218024214024178389,336747,1470,31054143.00,51483,15.29,2.05,-1.25
16-January-2020,91.05,94.10,91.00,92.95,93.183840704636926518,627614,2912,58483483.00,151545,24.15,3.10,1.90
15-January-2020,91.40,91.60,90.20,91.00,90.909247319425553337,283055,1205,25732317.00,44421,15.69,1.40,-0.40
14-January-2020,90.35,91.40,89.60,91.20,90.482853913105642235,895248,3123,81004594.00,157990,17.65,1.80,0.85
13-January-2020,89.50,90.40,89.30,90.10,90.016113193691347377,117109,699,10541697.00,24363,20.80,1.10,0.60
10-January-2020,90.20,90.40,88.45,88.80,89.360638269214076404,334091,1272,29854585.00,101988,30.53,1.95,-1.40
9-January-2020,88.15,90.80,87.85,89.70,89.944570874970697391,482039,2045,43356791.00,126754,26.30,2.95,1.55
8-January-2020,86.35,87.20,85.70,86.95,86.527109347211561862,267085,1343,23110093.00,41905,15.69,1.50,0.60
7-January-2020,88.00,88.95,86.65,87.35,87.208472576769657490,506906,1812,44206498.00,194240,38.32,2.30,-0.65
6-January-2020,90.05,90.45,86.85,87.15,88.070258871758573145,271254,1391,23889410.00,65640,24.20,3.60,-2.90
3-January-2020,92.25,92.45,90.55,90.95,91.385199861038018484,290727,1140,26568145.00,55138,18.97,1.90,-1.30
2-January-2020,88.75,92.75,88.75,92.20,90.996983151372575007,603610,2325,54926689.00,164489,27.25,4.00,3.45
